date,weekday,restaurant,menu_text,is_closed
2026-06-08,월,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)채선당샤브전골 &우동사리 / [중식 A코너 6,500원] 쌀밥 매콤떡볶이 호박맛살볶음 배추김치 / 냉메밀소바&돈가스 / [중식 B코너 7,500원] 김치볶음밥 물만두 으깬고구마샐러드 꼬들단무지무침 / 뚝배기불고기 &당면사리 / [석식 6,500원] 쌀밥 새우젓계란찜 오이양파무침 배추김치",False
2026-06-08,월,누리터식당(일산캠퍼스),"조식뷔페 두부된장국 (대두:외국산) 야채계란말이 진미채무침 양배추샐러드 시리얼*우유 ￦1,000 구분 누리밥상 더진국 팬앤누들 중식 명란크림스파게티 6,000원 삼겹김치찌개 (삼겹:오스트리아산/대두:외국산/배추,고추분:국내산) 동그랑땡 (돼지,닭,돈지방:국내산) 5,500원 석식 치즈돈까스 (돼지:국내산) 우동국물 양배추샐러드 단무지,김치 (배추,고추분:국내산) ￦6,500",False
2026-06-08,월,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~19:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 숯불삼겹솥밥 5500원 참치마요솥밥 5500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 11:30~19:00 철판치즈돈가스 7000원 낙지삼겹솥밥 6500원 삼겹-돼지:오스트리아산/닭:국내산/참치캔-가다랑어:베트남산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/낙지:베트남산/쌀:국내산/배추김치-배추,고춧가루:국내산 ****분식당**** 10:00~14:00 스팸도시락 4300원 공기밥 1000원 11:00~14:00 물냉면 5800원 비빔냉면 6000원 비비고찐만두 3500원 쌀:국내산/배추김치-배추,고춧가루:국내산/스팸-돼지:국산,외국산/참치캔-가다랑어:베트남산",False
2026-06-08,월,상록원2층식당(백반·일품·양식·뚝배기),"구분 백반코너 일품코너 양식코너 뚝배기코너 중식 11:00~14:00 / 15:00~16:00(품절시까지) 날치알김치볶음밥*치즈스틱*요구르트 *자율배식* 배추김치/단무지 (배추,고춧가루:국내산) ￦4,500 11:00~14:00 통등심돈까스(돼지:국내산)6000원 치즈오븐파스타 6500원(한정판매) 11:00~14:00 / 15:00~16:00 -더진국- 수육국밥/순대국밥6,800원 얼큰국밥 7,000원 (돈사골:국내산/돈육:외국산) 석식",False
2026-06-08,월,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 쇠고기된장찌개(뚝) (소:호주산) 삼겹살구이*부추무침 (돼지:오스트리아산) 매운어묵볶음 애호박나물 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 스파게티&돈까스 (돼지:국내산) 해쉬브라운 배추김치 (배추,고춧가루:국내산) 사이다(캔) **12시부터 한정판매 ￦7,000 석식 닭다리곰탕 (닭:국내산) 왕만두 아삭이고추된장무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-09,화,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)부대찌개 &치즈라면사리 / [중식 A코너 6,500원] 쌀밥 메추리알장조림 올리브샐러드 깍두기 / 냉메밀소바&돈가스 / [중식 B코너 7,500원] 김치볶음밥 물만두 으깬고구마샐러드 꼬들단무지무침 / 제육고추장비빔밥 / [석식 6,500원] 미역국 생선가스&타르타르소스 감자채볶음 배추김치",False
2026-06-09,화,누리터식당(일산캠퍼스),"조식뷔페 소고기미역국 (소:호주산) 계란후라이*스팸구이*케첩 (스팸-돼지:외국산/지방일부국산) 양배추샐러드 김치 (배추,고추분:국내산) 플레인요플레 ￦1,000 구분 누리밥상 더진국 팬앤누들 중식 뚝배기제육불고기 (돼지:국내산) 얼갈이된장국 상추쌈*콩나물무침 김치 (배추,고추분:국내산) 5,500원 팝콘치킨마요덮밥 (닭:국내산) 팽이장국 양배추샐러드 단무지*김치 (배추,고추분:국내산) 감귤쥬스 5,500원 석식 눈꽃치즈함박스테이크 (우지방:국내산/돼지:외국산) 감자튀김*케첩 우동국물 단무지,김치,요구르트 (배추,고추분:국내산) ￦6,800",False
2026-06-09,화,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~19:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 숯불삼겹솥밥 5500원 참치마요솥밥 5500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 11:30~19:00 철판치즈돈가스 7000원 낙지삼겹솥밥 6500원 삼겹-돼지:오스트리아산/닭:국내산/참치캔-가다랑어:베트남산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/낙지:베트남산/쌀:국내산/배추김치-배추,고춧가루:국내산 ****분식당**** 10:00~14:00 스팸도시락 4300원 공기밥 1000원 11:00~14:00 물냉면 5800원 비빔냉면 6000원 비비고찐만두 3500원 쌀:국내산/배추김치-배추,고춧가루:국내산/스팸-돼지:국산,외국산/참치캔-가다랑어:베트남산",False
2026-06-09,화,상록원2층식당(백반·일품·양식·뚝배기),"구분 백반코너 일품코너 양식코너 뚝배기코너 중식 11:00~14:00 / 15:00~16:00(품절시까지) 치킨마요덮밥*요구르트 *자율배식* 배추김치/단무지 (배추,고춧가루:국내산) ￦4,500 닭:국내산 11:00~14:00 고구마치즈돈까스(돼지:국내산)6000원 치즈오븐파스타 6500원(한정판매) 11:00~14:00 / 15:00~16:00 -더진국- 수육국밥/순대국밥6,800원 얼큰국밥 7,000원 (돈사골:국내산/돈육:외국산) 석식",False
2026-06-09,화,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 미나리곰탕 (소:호주산) 비비고비빔만두 베이컨감자볶음 (돼지:외국산) 우엉땅콩조림 샐러드 깍두기 (무:국내산,고춧가루:중국산) ￦7,000 산나물비빔밥 수제떡갈비 (소:호주산) 부추겉절이 배추김치 (배추,고춧가루:국내산) 식혜(캔) **12시부터 한정판매 ￦7,000 석식 부대찌개(뚝) (돼지:국내산,외국산/소:호주산) 치킨가라아게 (닭:국내산) 쑥갓나물 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-10,수,경영관 D-Flex식당,"[일반(뚝배기)] 육개장칼국수 / [중식 A코너 6,500원] 추가밥 포자만두찜*초간장 새송이버섯볶음 배추김치 / 소시지오므라이스 / [중식 B코너 7,500원] 우동국 케이준치킨샐러드 시즈닝감자튀김 오이피클 / (뚝)참치김치찌개 / [석식 6,500원] 쌀밥 양파떡갈비구이 토마토계란볶음 깍두기",False
2026-06-10,수,누리터식당(일산캠퍼스),"조식뷔페 김치콩나물국 (배추,고추분:국내산) 삼치데리야끼조림 (삼치:국내산) 베이컨감자채볶음 (베이컨-돼지:외국산) 양배추샐러드 ￦1,000 구분 누리밥상 더진국 팬앤누들 중식 마파두부덮밥 (돼지:국내산) 우동국물 소떡소떡꼬치 (닭,돼지:국내산) 5,500원 샤브칼국수 (소:호주산) 미니보리밥*열무김치 6,500원 석식 숯불삼겹솥밥 (삼겹:오스트리아산/돼지:국내산) 유부장국 숙주맛살냉채무침 어묵야채볶음 ￦5,500",False
2026-06-10,수,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~19:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 숯불삼겹솥밥 5500원 참치마요솥밥 5500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 11:30~19:00 철판치즈돈가스 7000원 낙지삼겹솥밥 6500원 삼겹-돼지:오스트리아산/닭:국내산/참치캔-가다랑어:베트남산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/낙지:베트남산/쌀:국내산/배추김치-배추,고춧가루:국내산 ****분식당**** 10:00~14:00 스팸도시락 4300원 공기밥 1000원 11:00~14:00 물냉면 5800원 비빔냉면 6000원 비비고찐만두 3500원 쌀:국내산/배추김치-배추,고춧가루:국내산/스팸-돼지:국산,외국산/참치캔-가다랑어:베트남산",False
2026-06-10,수,상록원2층식당(백반·일품·양식·뚝배기),"구분 백반코너 일품코너 양식코너 뚝배기코너 중식 11:00~14:00 / 15:00~16:00(품절시까지) 일식커리*왕새우튀김*요구르트 *자율배식* 배추김치/단무지 (배추,고춧가루:국내산) ￦5,000 돼지:국내산 11:00~14:00 더블까스(돼지:국내산)6000원 치즈오븐파스타 6500원(한정판매) 11:00~14:00 / 15:00~16:00 -더진국- 수육국밥/순대국밥6,800원 얼큰국밥 7,000원 (돈사골:국내산/돈육:외국산) 석식",False
2026-06-10,수,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 쇠고기해장국 (배추:국내산,소:호주산) 고추장삼겹살불고기 (돼지:오스트리아산) 김말이강정 비름나물 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 에그카레&그릴소세지 (돼지:국내산) 포테이토치즈스틱 배추김치 (배추,고춧가루:국내산) 제주감귤쥬스 **12시부터 한정판매 ￦7,000 석식 장조림버터솥밥(뚝) (소:호주산) 떡볶이 순대 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-11,목,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)순살안동찜닭 &납작당면 / [중식 A코너 6,500원] 쌀밥 소시지케찹볶음 콜리콜리참깨무침 배추김치 / 옛날자장면&계란후라이 / [중식 B코너 7,500원] 중국식볶음밥 짬뽕국 탕수육 짜사이채무침 / 스팸마요덮밥 / [석식 6,500원] 쑥갓어묵국 견과류고구마맛탕 쫄면채소무침 배추김치",False
2026-06-11,목,누리터식당(일산캠퍼스),"조식뷔페 깍두기볶음밥 (돼지:국내산) 팽이장국 치킨너겟 (닭:국내산) 양배추샐러드 시리얼*우유 ￦1,000 구분 누리밥상 더진국 팬앤누들 중식 소시지오므라이스 (돼지,닭:국내산) 우동국물 양배추샐러드*요구르트 단무지*김치 (배추,고추분:국내산) 5,500원 수육국밥 (돼지:외국산/돈사골:국내산) 오이스틱*쌈장 부추무침*깍두기 6,800원 석식 순두부찌개(쫄면사리) (돼지:국내산) 돈육버섯불고기 (돼지:국내산) 소시지전*케첩 아삭이고추된장무침 김치 (배추,고추분:국내산) ￦5,500",False
2026-06-11,목,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~19:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 숯불삼겹솥밥 5500원 참치마요솥밥 5500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 11:30~19:00 철판치즈돈가스 7000원 낙지삼겹솥밥 6500원 삼겹-돼지:오스트리아산/닭:국내산/참치캔-가다랑어:베트남산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/낙지:베트남산/쌀:국내산/배추김치-배추,고춧가루:국내산 ****분식당**** 10:00~14:00 스팸도시락 4300원 공기밥 1000원 11:00~14:00 물냉면 5800원 비빔냉면 6000원 비비고찐만두 3500원 쌀:국내산/배추김치-배추,고춧가루:국내산/스팸-돼지:국산,외국산/참치캔-가다랑어:베트남산",False
2026-06-11,목,상록원2층식당(백반·일품·양식·뚝배기),"구분 백반코너 일품코너 양식코너 뚝배기코너 중식 11:00~14:00 / 15:00~16:00(품절시까지) 소시지오므라이스*쥬시쿨 *자율배식* 배추김치/단무지 (배추,고춧가루:국내산) ￦5,000 돼지:국내산 11:00~14:00 치즈돈까스(돼지:국내산)6300원 치즈오븐파스타 6500원(한정판매) 11:00~14:00 / 15:00~16:00 -더진국- 수육국밥/순대국밥6,800원 얼큰국밥 7,000원 (돈사골:국내산/돈육:외국산) 석식",False
2026-06-11,목,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 스팸김치찌개 (돼지:국산,외국산/소;호주산) 등심돈까스 (돼지:국내산) 파래볶음 콩나물무침 샐러드 열무김치 (고춧가루:국내산) ￦7,000 차돌참나물비빔밥 (소:미국산,호주산) 새우볼꼬치 배추김치 (배추,고춧가루:국내산) **12시부터 한정판매 ￦7,000 석식 오므라이스&수제함박 (소:호주산,돼지:미국산) 연어까스 오이부추무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-12,금,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)돼지고기김치두루치기 &온두부 / [중식 A코너 6,500원] 쌀밥 오색잡채 콘샐러드 깍두기 / 옛날자장면&계란후라이 / [중식 B코너 7,500원] 중국식볶음밥 짬뽕국 탕수육 짜사이채무침 / (뚝)계란탁!순두부찌개 / [석식 6,500원] 쌀밥 청양마요미트볼볶음 유채나물 배추김치",False
2026-06-12,금,누리터식당(일산캠퍼스),"조식뷔페 유부초밥 우동국물 셀프)햄샌드위치*우유 (돼지,닭,돈지방:국산) 청양마요미트볼 (돼지,닭:국산) 양배추샐러드 배추김치 (배추,고추분:국내산) ￦1,000 구분 누리밥상 더진국 팬앤누들 중식 일식알밥*미니돈까스 (돼지:국내산) 두부장국 (대두:외국산) 단무지*김치 (배추,고추분:국내산) 6,000원 돈코츠라멘 (삼겹:오스트리아산) 야채비빔만두 단무지*김치 (배추,고추분:국내산) 6,500원 석식 돈사태김치찜 (배추,고추분:국내산/돈사태:국내산) 쌀밥*깍두기 떡갈비데리야끼조림 (돼지:국내산) ** 6월12일 석식운영 종료 ** ￦5,500",False
2026-06-12,금,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~19:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 숯불삼겹솥밥 5500원 참치마요솥밥 5500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 11:30~19:00 철판치즈돈가스 7000원 낙지삼겹솥밥 6500원 삼겹-돼지:오스트리아산/닭:국내산/참치캔-가다랑어:베트남산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/낙지:베트남산/쌀:국내산/배추김치-배추,고춧가루:국내산 ****분식당**** 10:00~14:00 스팸도시락 4300원 공기밥 1000원 11:00~14:00 물냉면 5800원 비빔냉면 6000원 비비고찐만두 3500원 쌀:국내산/배추김치-배추,고춧가루:국내산/스팸-돼지:국산,외국산/참치캔-가다랑어:베트남산",False
2026-06-12,금,상록원2층식당(백반·일품·양식·뚝배기),"구분 백반코너 일품코너 양식코너 뚝배기코너 중식 11:00~14:00 / 15:00~16:00(품절시까지) 눈꽃치즈닭갈비덮밥*요구르트 *자율배식* 배추김치/단무지 (배추,고춧가루:국내산) ￦4,500 닭:국내산 11:00~14:00 고구마치즈돈까스(돼지:국내산)6000원 치즈오븐파스타 6500원(한정판매) 11:00~14:00 / 15:00~16:00 -더진국- 수육국밥/순대국밥6,800원 얼큰국밥 7,000원 (돈사골:국내산/돈육:외국산) 석식",False
2026-06-12,금,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 매운돈갈비찜(뚝) (돼지:국내산) 아욱국 두부조림 (콩:외국산) 치커리사과무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 치킨굴소스덮밥 (닭:국내산) 쫄면 배추김치 (배추,고춧가루;국내산) 꽈배기도넛 **12시부터 한정판매 ￦7,000 석식 설렁탕(뚝) (소:호주산) 납작떡갈비 (소,돼지:국내산) 시금치나물 샐러드 깍두기 (무:국내산,고춧가루:중국산) ￦7,000",False
2026-06-13,토,누리터식당(일산캠퍼스),휴무,True
2026-06-13,토,상록원1층식당(솥앤누들),휴무,True
2026-06-13,토,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-13,토,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 낙삼불고기덮밥 (낙지:베트남산,돼지:오스트리아산) ￦7,000 석식",False
2026-06-14,일,누리터식당(일산캠퍼스),휴무,True
2026-06-14,일,상록원1층식당(솥앤누들),휴무,True
2026-06-14,일,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-14,일,상록원3층식당(집밥·한그릇),휴무,True
2026-06-15,월,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)순살치즈불닭 &라면사리 / [중식 A코너 6,500원] 쌀밥 등심돈가스 브로콜리두부무침 배추김치 / [중식 특별코너] 냉김치말이국수 / [중식 B코너 7,500원] 돼지고기굴소스볶음밥 소이소스닭강정 무말랭이무침 떠먹는요구르트 / 아비꼬카레라이스 &왕새우튀김 / [석식 6,500원] 유부장국 미미네국물떡볶이 후르츠콘샐러드 배추김치",False
2026-06-15,월,누리터식당(일산캠퍼스),"조식뷔페 후리가케주먹밥 우동국물 계란토스트*우유 비엔나*케첩 (닭:국내산) 양배추샐러드 음료수 ** 6.15일로 조식 종료 ** 구분 누리밥상 더진국 팬앤누들 중식 치즈불닭팬라이스 (닭:국내산) 6,800원 토마토스파게티*모닝빵 (돼지:국내산) 케이준샐러드 (닭:국내산) 6,000원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-15,월,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-15,월,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-15,월,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 사골왕만두국 스팸구이&계란후라이 (돼지:국내산,외국산) 꽈리고추멸치볶음 미나리나물 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 방중 휴무 석식 고구마닭볶음탕(뚝) (닭:국내산) 연어까스 콩나물무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-16,화,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)비벼먹는 스팸감자짜글이 / [중식 A코너 6,500원] 계란후라이&맛김가루 쌀밥 고추잡채&꽃빵 마카로니샐러드 배추김치 / [중식 특별코너] 냉김치말이국수 / [중식 B코너 7,500원] 돼지고기굴소스볶음밥 소이소스닭강정 무말랭이무침 떠먹는요구르트 / (뚝)비벼먹는 스팸감자짜글이 / [석식 6,500원] 계란후라이&맛김가루 쌀밥 고추잡채&꽃빵 마카로니샐러드 배추김치",False
2026-06-16,화,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 새우볶음밥*짜장소스 (새우:베트남산) 5,500원 물냉면*미니돈까스 (돼지:국내산) 6,500원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-16,화,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-16,화,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-16,화,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 불고기열무김치비빔밥 (소:호주산,얼갈이:국내산) 꼬치어묵국 통살새우까스 도토리묵무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000 방중 휴무 석식 오므라이스&그릴소세지 (돼지:국내산) 김말이깐풍 샐러드 배추김치 (배추,고춧가루:국내산) 쁘띠첼복숭아푸딩 ￦7,000",False
2026-06-17,수,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)매콤콩나물불고기 &떡사리 / [중식 A코너 6,500원] 쌀밥 청파래오징어가스 우엉채소볶음 배추김치 / [중식 특별코너] 우삼겹마라탕면 / [중식 B코너 7,500원] 계란볶음밥 청파래오징어가스 오이탕탕이 배추김치 / (뚝)매콤콩나물불고기 &떡사리 / [석식 6,500원] 쌀밥 너비아니채소구이 계란말이 배추김치",False
2026-06-17,수,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 김치볶음밥*생선까스 (돼지:국내산/배추,고추분:국내산) 5,500원 일식커리*치킨가라아게 (닭:브라질산) 5,500원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-17,수,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-17,수,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-17,수,상록원3층식당(집밥·한그릇),"구분 집밥 한그릇(한정판매) 중식 왕등심돈까스 (돼지:국내산) 쫄면무침 오이부추무침 샐러드 배추김치 (배추,고춧가루:국내산) 탄산음료(캔) ￦7,000 방중 휴무 석식 고기국수(뚝) (돼지:국내산) 왕만두 아삭이고추된장무침 샐러드 배추김치 (배추,고춧가루:국내산) ￦7,000",False
2026-06-18,목,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)쇠고기된장찌개 / [중식 A코너 6,500원] 쌀밥 모둠장조림 쉬라즈샐러드 배추김치 / [중식 특별코너] 육쌈쫄면 / [중식 B코너 7,500원] 날치알김가루양념밥 갈비만두찜 배추김치 사이다 / (뚝)쇠고기된장찌개 / [석식 6,500원] 쌀밥 모둠장조림 쉬라즈샐러드 배추김치",False
2026-06-18,목,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 통등심돈까스 (돼지:국내산) 6,500원 묵은지감자탕 (돼지:국내산/배추,고추분:국내산) 두부조림 (대두:외국산) 5,500원 **중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-18,목,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-18,목,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-18,목,상록원3층식당(집밥·한그릇),휴무,True
2026-06-19,금,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)왕만두김치전골 / [중식 A코너 6,500원] 쌀밥 명란계란찜 사각어묵볶음 깍두기 / [중식 특별코너] 육쌈쫄면 / [중식 B코너 7,500원] 날치알김가루양념밥 갈비만두찜 배추김치 사이다 / (뚝)왕만두김치전골 / [석식 6,500원] 쌀밥 명란계란찜 사각어묵볶음 깍두기",False
2026-06-19,금,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 김치소불고기솥밥 (배추,고추분:국내산/소:호주산) 비비고왕교자*초간장 6,500원 꼬치어묵유부우동 제육주먹밥 (돼지:국내산) 5,500원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-19,금,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-19,금,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-19,금,상록원3층식당(집밥·한그릇),휴무,True
2026-06-20,토,누리터식당(일산캠퍼스),휴무,True
2026-06-20,토,상록원1층식당(솥앤누들),휴무,True
2026-06-20,토,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-20,토,상록원3층식당(집밥·한그릇),휴무,True
2026-06-21,일,누리터식당(일산캠퍼스),휴무,True
2026-06-21,일,상록원1층식당(솥앤누들),휴무,True
2026-06-21,일,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-21,일,상록원3층식당(집밥·한그릇),휴무,True
2026-06-22,월,누리터식당(일산캠퍼스),휴무,True
2026-06-22,월,상록원1층식당(솥앤누들),휴무,True
2026-06-22,월,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-22,월,상록원3층식당(집밥·한그릇),휴무,True
2026-06-23,화,누리터식당(일산캠퍼스),휴무,True
2026-06-23,화,상록원1층식당(솥앤누들),휴무,True
2026-06-23,화,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-23,화,상록원3층식당(집밥·한그릇),휴무,True
2026-06-24,수,누리터식당(일산캠퍼스),휴무,True
2026-06-24,수,상록원1층식당(솥앤누들),휴무,True
2026-06-24,수,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-24,수,상록원3층식당(집밥·한그릇),휴무,True
2026-06-25,목,누리터식당(일산캠퍼스),휴무,True
2026-06-25,목,상록원1층식당(솥앤누들),휴무,True
2026-06-25,목,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-25,목,상록원3층식당(집밥·한그릇),휴무,True
2026-06-26,금,누리터식당(일산캠퍼스),휴무,True
2026-06-26,금,상록원1층식당(솥앤누들),휴무,True
2026-06-26,금,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-26,금,상록원3층식당(집밥·한그릇),휴무,True
